Reporting Economy,Partner Economy,PSI Reporting Economy,PSI Partner Economy,Year,Value
Norway,Philippines,1.08862638473511,-0.984022319316864,2021,12956456.810244499
Norway,Saudi Arabia,1.08862638473511,-0.592355370521545,2021,192480.209546
Norway,Singapore,1.08862638473511,1.44250547885895,2021,2126718.0442376
Norway,South Africa,1.08862638473511,-0.750981450080872,2021,12759.2549476
Norway,South Korea,1.08862638473511,0.629045724868774,2021,18468815.0174622
Norway,Sri Lanka,1.08862638473511,-0.376773029565811,2021,2367.2875437
Norway,Suriname,1.08862638473511,0.348392158746719,2021,4726.3096624
Norway,Switzerland,1.08862638473511,1.11537563800812,2021,2106221.3038418
Norway,Taiwan,1.08862638473511,0.767897605895996,2021,54594500.1164143
Norway,Thailand,1.08862638473511,-0.56877988576889,2021,13523491.967403801
Norway,Turkey,1.08862638473511,-1.13679277896881,2021,27253.3178114
Norway,Ukraine,1.08862638473511,-1.12698400020599,2021,646.4493597
Norway,United Arab Emirates,1.08862638473511,0.597572147846222,2021,455503.7252618
Norway,United Kingdom,1.08862638473511,0.489994138479233,2021,5390455.7625146005
Norway,United States,1.08862638473511,-0.0144246527925134,2021,20438425.0291037
Pakistan,Australia,-1.71373546123505,0.83507913351059,2021,12620.184631999999
Pakistan,Bahrain,-1.71373546123505,-0.524761199951172,2021,18368.4292724
Pakistan,Brazil,-1.71373546123505,-0.419879764318466,2021,42343.8992753
Pakistan,Canada,-1.71373546123505,0.962336957454681,2021,85446.2531659
Pakistan,Chile,-1.71373546123505,0.161427184939384,2021,1958.7338893
Pakistan,China,-1.71373546123505,-0.516462862491608,2021,584553130.2355499
Pakistan,Costa Rica,-1.71373546123505,0.860422551631927,2021,6441.5820502
Pakistan,European Union,-1.71373546123505,0.7259235094192634,2021,1976462.9570282
Pakistan,Hong Kong,-1.71373546123505,0.263934075832367,2021,6693681.481932
Pakistan,India,-1.71373546123505,-0.691076755523682,2021,137.3121012
Pakistan,Indonesia,-1.71373546123505,-0.531449198722839,2021,4289.8291743
Pakistan,Japan,-1.71373546123505,1.0155017375946,2021,1260699.9195896
Pakistan,Malaysia,-1.71373546123505,0.0595565475523472,2021,1884655.7816991
Pakistan,Mexico,-1.71373546123505,-0.687615871429443,2021,38570.9624735
Pakistan,Norway,-1.71373546123505,1.08862638473511,2021,199.9923223
Pakistan,Philippines,-1.71373546123505,-0.984022319316864,2021,27791.8919368
Pakistan,Singapore,-1.71373546123505,1.44250547885895,2021,2922550.2830491997
Pakistan,South Africa,-1.71373546123505,-0.750981450080872,2021,17348.7016918
Pakistan,South Korea,-1.71373546123505,0.629045724868774,2021,269305.1493777
Pakistan,Swaziland,-1.71373546123505,-0.346009790897369,2021,7337.0663956
Pakistan,Switzerland,-1.71373546123505,1.11537563800812,2021,64696.2210324
Pakistan,Thailand,-1.71373546123505,-0.56877988576889,2021,676144.7793819
Pakistan,Turkey,-1.71373546123505,-1.13679277896881,2021,134975.3769067
Pakistan,United Arab Emirates,-1.71373546123505,0.597572147846222,2021,225462.9773572
Pakistan,United Kingdom,-1.71373546123505,0.489994138479233,2021,421661.8479638
Pakistan,United States,-1.71373546123505,-0.0144246527925134,2021,1139881.1569745
Panama,Argentina,0.307207077741623,0.0005300586344674,2021,3576.0
Panama,Australia,0.307207077741623,0.83507913351059,2021,704.0
Panama,Brazil,0.307207077741623,-0.419879764318466,2021,56625.0
